anime,Gênero do anime,anime_url,anime_img,Quantidade de episódios do anime,Votos totais do anime,Avaliação do anime,Avaliação Categoria do anime,Contagem total de votos de todos os animes
Naruto Shippuuden,,https://www.crunchyroll.com/naruto-shippuden,https://img1.ak.crunchyroll.com/i/spire4/1c1df98707aa0f22aa54342af725e48a1491245343_full.jpg,500,48518,4.81,Excelente,269909
Shugo Chara,,https://www.crunchyroll.com/shugo-chara,https://img1.ak.crunchyroll.com/i/spire1/7c0c0cd3958894b2dafc740ba847e4f11279141777_full.jpg,51,33688,4.86,Excelente,269909
BLEACH,,https://www.crunchyroll.com/bleach,https://img1.ak.crunchyroll.com/i/spire2/52edb7a843abacb4ff0f642c8eda14401325114125_full.jpg,366,23900,4.83,Excelente,269909
Naruto,,https://www.crunchyroll.com/naruto,https://img1.ak.crunchyroll.com/i/spire2/0145388e3ecfdb5a63ce1e9feaeef44a1279141923_full.jpg,220,16613,4.8,Excelente,269909
Gintama,,https://www.crunchyroll.com/gintama,https://img1.ak.crunchyroll.com/i/spire2/54c15675670ba44c1f98c3e11ba0cddf1515030877_full.jpg,379,11435,4.87,Excelente,269909
Hayate the Combat Butler! (S1 e S2),,https://www.crunchyroll.com/hayate-the-combat-butler-season-1-2,https://img1.ak.crunchyroll.com/i/spire4/8ad9366eab2ceca1a872a26c5b96574f1446849740_full.jpg,77,5689,4.85,Excelente,269909
Natsume Yuujinchou,"Drama, Fantasy, Slice of life",https://www.crunchyroll.com/natsume-yujin-cho,https://img1.ak.crunchyroll.com/i/spire1/3b7183aa0e0b39430cd4f294ab4a9f231327959666_full.jpg,39,5158,4.89,Excelente,269909
Blue Exorcist,,https://www.crunchyroll.com/blue-exorcist,https://img1.ak.crunchyroll.com/i/spire1/e0c8a39fa014e57a95ef3682a4cc61d31483733959_full.jpg,12,4498,4.82,Excelente,269909
Durarara!!,,https://www.crunchyroll.com/durarara,https://img1.ak.crunchyroll.com/i/spire4/4e653adda1d5c4622bd496dc10cacf211451958742_full.jpg,62,4042,4.85,Excelente,269909
Time of Eve,,https://www.crunchyroll.com/time-of-eve,https://img1.ak.crunchyroll.com/i/spire2/afbe92137e5717d72f8f0ec9a9dca9321423792090_full.jpg,6,3864,4.87,Excelente,269909
Sword Art Online,Fantasy,https://www.crunchyroll.com/sword-art-online,https://img1.ak.crunchyroll.com/i/spire1/1695b24f123889418228be89e00b9a0d1570828158_full.jpg,89,3458,4.4,Excelente,269909
The World God Only Knows,"Comedy, Harem, Romance",https://www.crunchyroll.com/the-world-god-only-knows,https://img1.ak.crunchyroll.com/i/spire3/4462386a1d99869f81bcc2cf3effc7671375831867_full.jpg,36,3443,4.77,Excelente,269909
Saki,"Slice of life, Sports",https://www.crunchyroll.com/saki,https://img1.ak.crunchyroll.com/i/spire4/d9f5e51c6ce7a1c3c36cd0728596d2dc1389320768_full.jpg,38,2367,4.7,Excelente,269909
Hunter x Hunter,,https://www.crunchyroll.com/hunter-x-hunter,https://img1.ak.crunchyroll.com/i/spire3/cbb55a6382682bf71e91f685c6473c5a1487736090_full.jpg,148,2244,4.85,Excelente,269909
Attack on Titan,"Action, Adventure, Drama, Fantasy, Post-apocalyptic, Thriller",https://www.crunchyroll.com/attack-on-titan,https://img1.ak.crunchyroll.com/i/spire1/13b484b48acc14537703fbc505b087121558560482_full.jpg,60,2014,4.73,Excelente,269909
Black Clover,"Action, Adventure, Comedy, Fantasy, Shonen",https://www.crunchyroll.com/black-clover,https://img1.ak.crunchyroll.com/i/spire2/1a39d39cbe3346cce5e44577cbb895041579741401_full.jpg,127,1941,3.84,Bom,269909
Another,Mystery,https://www.crunchyroll.com/another,https://img1.ak.crunchyroll.com/i/spire1/6a63d28dc4193210a69c83f1fca67bf21325886769_full.jpg,12,1859,4.71,Excelente,269909
Inu X Boku Secret Service,,https://www.crunchyroll.com/inu-x-boku-secret-service,https://img1.ak.crunchyroll.com/i/spire2/8e9deb3d532eb37c9d437ec63a8fe0901326138594_full.jpg,12,1473,4.75,Excelente,269909
The Rising of the Shield Hero,"Action, Adventure, Drama, Fantasy, Isekai, Seinen",https://www.crunchyroll.com/the-rising-of-the-shield-hero,https://img1.ak.crunchyroll.com/i/spire4/25627becf63b169d19af7efee6122e791555537428_full.jpg,25,1409,4.72,Excelente,269909
SKET Dance,"Comedy, Shonen, Slice of life",https://www.crunchyroll.com/sket-dance,https://img1.ak.crunchyroll.com/i/spire3/69265eb93a25ab7d8a9180eb18be87f91301520977_full.jpg,77,1364,4.77,Excelente,269909
Squid Girl,"Comedy, Supernatural",https://www.crunchyroll.com/squid-girl,https://img1.ak.crunchyroll.com/i/spire3/cd29219a95ba07cf19a03065086d457d1285618435_full.jpg,26,1319,4.72,Excelente,269909
Re:ZERO -Starting Life in Another World-,"Action, Adventure, Comedy, Drama, Fantasy, Isekai, Romance",https://www.crunchyroll.com/rezero-starting-life-in-another-world-,https://img1.ak.crunchyroll.com/i/spire2/4ea073a64ebabedc9a2d2d690659c8c01579337678_full.jpg,63,1164,4.55,Excelente,269909
One Piece,"Action, Adventure, Fantasy, Shonen",https://www.crunchyroll.com/one-piece,https://img1.ak.crunchyroll.com/i/spire4/8056a82e973dde98ebb82abd39dc69731564519729_full.jpg,1135,1142,4.7,Excelente,269909
Fate/Zero,,https://www.crunchyroll.com/fatezero,https://img1.ak.crunchyroll.com/i/spire3/2ee05df6e44530437069955b71f09daf1317839234_full.jpg,25,1097,4.79,Excelente,269909
JoJo's Bizarre Adventure,,https://www.crunchyroll.com/jojos-bizarre-adventure,https://img1.ak.crunchyroll.com/i/spire3/04b29833ccaaf2ee6bda1d08f2f02ecf1539039197_full.jpg,158,1074,4.87,Excelente,269909
Chihayafuru,,https://www.crunchyroll.com/chihayafuru,https://img1.ak.crunchyroll.com/i/spire1/3711c8d7170680a6f6fa3503b2ca7da31572467477_full.jpg,74,1054,4.83,Excelente,269909
